"commonName","address","OGRN","stateAccreditationDate","id","code"
"МосГу","город Москва, улица Юности, дом 5","1127799015277","30.04.2019","639894029","59"
"СТАНКИН","город Москва, Вадковский переулок, дом 3А, строение 1","1037700246451","31.03.2020","639894030","18"
"ВГИК","город Москва, улица Вильгельма Пика, дом 3","1037739313700","03.03.2016","639894031","51"
"РПА Минюста","город Москва, Азовская улица, дом 2, корпус 1","1027700162676","09.11.2015","639894032","52"
"МГАХИ им. Сурикова","город Москва, Товарищеский переулок, дом 30, строение 1","1027700136573","14.11.2018","639894033","60"
"ГУУ","город Москва, Рязанский проспект, дом 99, строение 1","1027739017976","15.05.2018","639894034","19"
"МПГУ","город Москва, Малая Пироговская улица, дом 1, строение 1","1027700215344","15.04.2016","639894036","53"
"ГАУГН","город Москва, Мароновский переулок, дом 26","1037739068630","24.07.2017","639894037","21"
"МИФИ","город Москва, Каширское шоссе, дом 31","1037739366477","01.07.2016","639894038","22"
"Литературный институт им. Горького","город Москва, Тверской бульвар, дом 25, строение 1","1027739212324","20.06.2018","639894039","62"
